ProductCode,Sk__c,Name,Model__c,Name_EN__c,Sales_price__c,Sales_currency__c,Purchase_price__c,Purchase_currency__c,IsActive,Description,Import_ID__c,Salesforce_ID
B10.10,100,Vostina dlouha nudle,,"Voština 100x450x60 mm (DxŠxV), oko 15mm",,,0.0,,True,Vostina dlouha nudle 100x450x60 mm,PROD-581,01tJ9000001BhGFIA0
B10.19,100,Vostina do krabice pro GMKit 4ks,,"Voština 350x120x60 mm (DxŠxV), oko 15mm",,,0.0,,True,Vostina do krabice pro GMKit 4ks,PROD-582,01tJ9000001BhSFIA0
B10.6,100,Vostina do krabice stojanu,,"Voština 410x390x30 mm (DxŠxV), oko 15mm",,,0.0,,True,Vostina do krabice stojanu,PROD-583,01tJ9000001BhJ0IAK
B10.16,100,Vostina do krabice stojanu Pro,,"Voština 470x430x30 mm (DxŠxV), oko 15mm",,,0.0,,True,Vostina do krabice stojanu Pro,PROD-584,01tJ9000001BhSKIA0
B10.8,100,Vostina kratka,,"Voština 390x280x60 mm (DxŠxV), oko 15mm",,,0.0,,True,"Vostina kratka 390x280x60 mm (DxŠxV), oko 15mm",PROD-585,01tJ9000001BhNbIAK
B10.11,100,Vostina kratka nudle,,"Voština 100x390x60 mm (DxŠxV), oko 15mm",,,0.0,,True,Vostina kratka nudle  100x390x60 mm,PROD-586,01tJ9000001Bh8pIAC
B10.7,100,Vostina velka,,"Voština 510x450x60 mm (DxŠxV), oko 15mm",,,0.0,,True,"Vostina velka  510x450x60 mm (DxŠxV), oko 15mm",PROD-587,01tJ9000001BhA8IAK
C37,100,Vydavac karet / card dispenser,,Card dispenser version: C571_V10_A_101018,,,306.0,USD,True,Vydavac karet / card dispenser,PROD-588,01tJ9000001BhSPIA0
Y25,300,Vyrobeny kabinet pro Ultra P/R BNR,,Vyrobeny kabinet pro Ultra P/R BNR/BNR,,,,,True,Vyrobeny kabinet pro Ultra P/R BNR,PROD-589,01tJ9000001BhIIIA0
Y25.1,300,Vyrobeny kabinet pro Ultra P/R BNR (Coinflip/Local Coin),,Coinflip,,,,,True,Vyrobeny kabinet pro Ultra P/R BNR (Coinflip/Local Coin),PROD-590,01tJ9000001BhSUIA0
Y25.2,300,Vyrobeny kabinet pro Ultra P/R SCN a SCR,,Vyrobeny kabinet pro Ultra P/R SCN a SCR,,,,,True,Vyrobeny kabinet pro Ultra P/R SCN a SCR,PROD-591,01tJ9000001BhMsIAK
C21,100,Vysouseci sacek,,"SD4U - vysouseci sacky 4 15x9,5cm - 150ks",,,0.0,,True,Vysouseci sacek,PROD-592,01tJ9000001BhJYIA0
B21,100,WiFi ANTENNA Ext.,,Mouser 538-146153-0250 - wifi antena,,,0.0,,True,WiFi ANTENNA Ext.,PROD-593,01tJ9000001BhSZIA0
H4,100,Zahnuty napajeci kabel - pro fotostojan,,kpsp2-90,,,0.0,,True,Zahnuty napajeci kabel - pro fotostojan,PROD-594,01tJ9000001BgzWIAS
H3,100,Zahnuty USB A-B - pro fotostojan,,ku2ab2-90,,,0.0,,True,Zahnuty USB A-B - pro fotostojan,PROD-595,01tJ9000001BhR3IAK
B3,100,Zamek - Octagon T8 25mm vcetne dvou klicu,,Lock 25mm Octagon Ten Pin,,,9.36,EUR,True,Zamek - Octagon T8 25mm vcetne dvou klicu,PROD-596,01tJ9000001BhGUIA0
B4,100,Zamek - Octagon T8 kratky vcetne dvou klicu,,Lock 18mm Octagon Ten Pin,,,10.4,EUR,True,Zamek - Octagon T8 kratky vcetne dvou klicu,PROD-597,01tJ9000001BhLCIA0
B3.2,100,Zamek - Serie 58 25mm vcetne dvou klicu (PRO COINFLIP),,Lock - Serie 58 25mm including two keys (for coinflip),,,9.48,EUR,True,Zamek - Serie 58 25mm vcetne dvou klicu (PRO COINFLIP),PROD-598,01tJ9000001BhInIAK
B3.3,100,Zamek - Serie 58 25mm vcetne dvou klicu (PRO LOCALCOIN),,Lock - Series 58 25mm including two handles (FOR LOCALCOIN),,,9.48,EUR,True,Zamek - Serie 58 25mm vcetne dvou klicu (PRO LOCALCOIN),PROD-599,01tJ9000001BhOpIAK
B4.1,100,Zamek - STC kratky - na cashboxy,,Lock for MEI cashbox,,,0.0,,True,Zamek - STC kratky - na cashboxy,PROD-600,01tJ9000001Bh3mIAC
C46,100,Zamek elektronicky,,Electronic lock,45,USD,31.85,EUR,True,Zamek elektronicky,PROD-601,01tJ9000001Bg3XIAS
C58,100,Zamek s packou pro bill dispenser kazetu,,Lock for Bill Dispenser cassette,6,EUR,4.33,EUR,True,Zamek s packou pro bill dispenser kazetu,PROD-602,01tJ9000001Bh7pIAC
B25,100,Zapadka na cashbox - Latch,,Latch for Cashbox,5,USD,0.12,EUR,True,Zapadka na cashbox - Latch,PROD-603,01tJ9000001BgxOIAS
B35,100,Zaslepka akceptoru,,Banknote acceptor cover plate,4.5,USD,0.0,,True,Zaslepka akceptoru,PROD-604,01tJ9000001BhJFIA0
B27,100,Zaslepka mala pro BATMTwo (v cene kabinetu),,Zaslepka mala pro BATMTwo (v cene kabinetu),,,0.0,,True,Zaslepka mala pro BATMTwo (v cene kabinetu),PROD-605,01tJ9000001BhSeIAK
B28,100,Zaslepka velka pro BATMTwo (v cene kabinetu),,Zaslepka velka pro BATMTwo (v cene kabinetu),,,0.0,,True,Zaslepka velka pro BATMTwo (v cene kabinetu),PROD-606,01tJ9000001BhHGIA0
C59,100,Zatavovaci folie,,"Fólie bariérová ALU PLL 128 1500/100m, PET 15my+ALU 12my+HD/LLDPE",,,0.0,,True,Zatavovaci folie,PROD-607,01tJ9000001BhAdIAK
C18,100,Zdroj 5V/4A pro LED NEON,,5V/4A source for LED NEON,13,USD,0.0,,True,Zdroj 5V/4A pro LED NEON,PROD-608,01tJ9000001BhRrIAK
B19,100,Zelezny kabinet pro BATM2C,,Zelezny kabinet pro BATM2C,,,0.0,,True,Zelezny kabinet pro BATM2C,PROD-609,01tJ9000001BhG3IAK
B19.4,100,Zelezny kabinet pro BATM2C MAX,,"Kabinet pro malý, mělký automat, 10""",,,0.0,,True,Zelezny kabinet pro BATM2C MAX,PROD-610,01tJ9000001BhSjIAK
B19.1,100,Zelezny kabinet pro BATM2L,,"Kabinet pro malý, hluboký automat",,,0.0,,True,Zelezny kabinet pro BATM2L,PROD-611,01tJ9000001BhKYIA0
B19.5,100,Zelezny kabinet pro BATM2L MAX,,"Kabinet pro malý, hluboký automat, 10""",,,,,True,Zelezny kabinet pro BATM2L MAX,PROD-612,01tJ9000001BhS6IAK
B19.2,100,Zelezny kabinet pro BATM2P,,"Kabinet pro malý, hluboký automat bez akceptoru",,,0.0,,True,Zelezny kabinet pro BATM2P,PROD-613,01tJ9000001Bh9kIAC
B19.6,100,Zelezny kabinet pro BATM2P MAX,,"Kabinet pro malý, hluboký automat bez akceptoru, 10""",,,0.0,,True,Zelezny kabinet pro BATM2P MAX,PROD-614,01tJ9000001Bh9BIAS
B19.3,100,Zelezny kabinet pro BATM2R,,"Kabinet pro malý, hluboký automat s tiskárnou",,,0.0,,True,Zelezny kabinet pro BATM2R,PROD-615,01tJ9000001BhG8IAK
B19.7,100,Zelezny kabinet pro BATM2R MAX,,"Kabinet pro malý, hluboký automat s tiskárnou, 10""",,,0.0,,True,Zelezny kabinet pro BATM2R MAX,PROD-616,01tJ9000001BhQoIAK
C28.2,100,Zelezny kabinet pro BATM3 polomelky,,Kabinet pro polomelky automat,,,0.0,,True,Zelezny kabinet pro BATM3 polomelky,PROD-617,01tJ9000001BhNLIA0
C28.3,100,Zelezny kabinet pro BATM3JUMBO,,Zelezny kabinet pro BATM3JUMBO,,,0.0,,True,Zelezny kabinet pro BATM3JUMBO,PROD-618,01tJ9000001Bge8IAC
C28,100,Zelezny kabinet pro BATM3L/M/XL,,Iron cabinet for BATM3L/M/XL,,,0.0,,True,Zelezny kabinet pro BATM3L/M/XL,PROD-619,01tJ9000001BhSoIAK
C28.1,100,Zelezny kabinet pro BATM3XXL,,Iron cabinet for BATM3XXL,,,0.0,,True,Zelezny kabinet pro BATM3XXL,PROD-620,01tJ9000001BhRiIAK
C28.4,100,Zelezny kabinet pro BATMFour,,Iron cabinet for BATMFour,,,0.0,,True,Zelezny kabinet pro BATMFour,PROD-621,01tJ9000001BhNVIA0
B39,100,Zelezny kabinet pro BATMTwo Ultra pro BNR,,Zelezny kabinet pro BATMTwo Ultra pro BNR,,,,,True,Zelezny kabinet pro BATMTwo Ultra pro BNR,PROD-622,01tJ9000001BhStIAK
B39.1,100,Zelezny kabinet pro BATMTwo Ultra pro SCN/MEI,,Zelezny kabinet pro BATMTwo Ultra pro SCN/MEI,,,,,True,Zelezny kabinet pro BATMTwo Ultra pro SCN/MEI,PROD-623,01tJ9000001BhSyIAK
B48,100,Zelezny kabinet pro DNAmeter,,Zelezny kabinet pro DNAmeter,,,,,True,Zelezny kabinet pro DNAmeter,PROD-624,01tJ9000001BhRwIAK
H6,100,Zelezny kabinet pro Fotokiosek,,Kabinet pro fotokiosek,,,0.0,,True,Zelezny kabinet pro Fotokiosek,PROD-625,01tJ9000001BhSGIA0
C28.6,100,Zelezny kabinet pro GBSafe,,Kabinet pro GBSafe,0,,,,True,Zelezny kabinet pro GBSafe,PROD-626,01tJ9000001BhRmIAK
